,Open Date/Time,Close Date/Time,Held,Symbol,Side,Avr Entry,Avr Exit,Shares,Gross,Comm
0,2021-07-23 09:35:00,2021-07-23 09:36:00,1m 55s,FUTU,LONG,122.75,122.61,6,-0.79,0.73
1,2021-07-23 09:32:00,2021-07-23 09:41:00,9m 5s,SAVA,LONG,120.36,123.92,10,35.66,1.39
2,2021-07-23 09:40:00,2021-07-23 09:49:00,9m 10s,FUTU,LONG,118.48,120.59,12,25.46,1.78
3,2021-07-23 09:59:00,2021-07-23 10:04:00,4m 35s,APT,SHORT,9.62,9.64,30,-0.74,1.07
4,2021-07-23 10:27:00,2021-07-23 10:28:00,1m 21s,VERB,SHORT,2.8,2.75,60,3.0,1.2
5,2021-07-23 10:36:00,2021-07-23 10:42:00,6m 2s,RIOT,LONG,28.38,28.36,70,-1.4,1.41
6,2021-07-23 10:45:00,2021-07-23 10:47:00,1m 59s,RIOT,LONG,27.65,27.54,35,-3.85,0.72
7,2021-07-23 10:48:00,2021-07-23 10:56:00,8m 11s,RIOT,LONG,27.63,27.63,70,0.52,1.49
8,2021-07-23 11:26:00,2021-07-23 11:36:00,10m 27s,SAVA,LONG,117.83,118.11,13,3.68,1.07
9,2021-07-26 10:36:00,2021-07-26 10:48:00,12m 1s,FUTU,SHORT,123.52,121.32,4,8.81,2.81
